126130429	3938054	15.507577906	5.395736805	263660
124851201	3906596	15.302860365	5.033865562	263191
125674525	3928290	15.426110785	5.082868983	263275
124827523	3908448	15.284993257	5.061702137	263904
128024161	3983666	15.860484117	5.430444564	267820
126269024	3945939	15.615959329	5.13968906	267448
125681924	3930549	15.44856391	5.144136613	265631
126288034	3942719	15.622738722	5.06502625	264560
127357299	3967159	15.777279233	5.300513364	263952
125996232	3938017	15.479534908	5.025907146	263098
126493837	3949512	15.633149332	5.075141671	266409
124267639	3893019	15.148182176	5.007045315	262261
126096223	3939718	15.516640954	5.352814833	266374
125848423	3931053	15.40488824	5.002805689	262226
125452606	3921901	15.34939033	5.184621248	264078
127713990	3973655	15.669338021	5.066301498	264249
125524835	3928690	15.632573858	5.269908802	264418
125549188	3925353	15.478316157	5.019522827	264351
127787445	3979585	15.921817069	5.078234257	266770
126419996	3946751	15.518714602	5.024824196	265149
