29233983	2454747	7.660125091	7.910357442	88648
55811806	4115602	12.968634155	11.069927195	141609
68799281	4997279	17.440322458	12.696307267	182113
55418059	4129855	13.288706449	11.151718053	148855
35546712	2882136	8.662408703	8.615030948	105134
76890492	5494758	19.63622473	13.597857007	186426
73387768	5184214	17.827469538	13.114532477	175912
111061575	7467489	29.705210919	17.219662981	253692
31190107	2559523	7.260033895	7.792723901	93813
26286780	2253912	6.077936655	6.864982366	79935
65104925	4812653	17.296582445	11.963950696	168820
29096980	2439664	7.095928905	7.36786123	88397
75773445	5352309	19.508992884	13.766714663	185937
67079095	5040547	18.72303238	12.591289718	169833
52908793	3985615	13.003249089	10.220453135	142692
64125652	4758970	16.348911724	11.566664178	167989
33775303	2865721	8.942164498	8.253318444	103261
38349391	3069481	9.444917188	8.492925673	107197
41532014	3288500	10.188820533	9.336884064	117524
42378378	3355914	10.424004635	9.077413867	119690
