0	20	393	155	35	7654	4871	3032	609	589	755	1090	437	129	89	5	86527	49140	24818	35759	63464	24195	22892	9296	1341	21379	3774	11758	10695	6121	16602	5483	7935	7658	2015	6235	7747	9928	11504	5569	2119	3297	1211	906	1397	264	2625	2195	1299	2245	895	374	4048	2866	2727	126	53	158	143	49	847	462	176	240	311	330	63	71	32	76	8	4	0	1
1	16	319	88	32	6361	2770	2535	212	352	617	1013	257	117	82	9	72062	30919	13728	33030	57448	13918	7861	7986	237	17507	3245	6864	9463	3429	15638	3156	6686	7325	652	3694	7238	6256	6201	2014	1745	3179	1137	468	1333	137	2238	2053	792	2114	628	124	2283	2749	1717	106	36	121	316	54	677	439	169	147	180	338	44	99	53	46	9	3	5	0
10	22	416	185	46	8227	5547	3109	800	664	805	1379	575	195	150	15	91760	57210	25757	38754	67060	25719	28644	8680	2013	21161	3313	14916	11530	6472	21226	6547	7557	9117	2793	6653	8035	11470	10727	6818	2179	5060	1880	1453	1674	291	2745	3450	2023	3758	1055	405	4404	3808	3336	214	109	149	489	145	1083	866	360	245	454	560	79	193	114	149	25	7	11	1
11	19	379	130	41	7485	4068	2993	429	514	747	1316	395	164	133	12	83576	42716	20237	36463	65619	19758	15952	8978	766	20330	3709	10730	10799	5021	19983	4712	7531	9581	1386	5147	8075	9040	8563	3932	2120	4476	1891	927	1670	192	2500	2858	1282	3389	907	233	3262	3711	2495	159	101	144	426	85	1034	786	292	192	328	588	55	145	87	101	30	3	10	0
12	16	313	97	23	6202	2985	2417	293	383	607	704	216	97	47	4	72151	32198	15264	31246	53139	15321	10687	7933	487	17673	2373	5647	9160	3801	10889	2540	6382	4834	747	4065	6524	6612	7711	2697	1684	2505	597	350	902	87	2097	1662	739	1164	628	214	2573	1915	1378	136	17	127	129	29	595	275	80	122	186	192	35	53	19	42	2	3	2	0
13	25	494	237	63	9660	7351	3884	1135	957	978	1947	902	259	242	21	106423	69152	33729	41381	79533	33503	41624	11163	3062	25274	4218	23574	12587	8515	29425	10900	9268	13585	4922	8428	8779	16382	16035	10696	2853	7080	3272	2644	2273	631	3201	4581	2928	5942	1650	699	6368	5250	5829	266	234	181	692	209	1510	1432	680	380	773	957	109	288	201	223	43	9	22	2
14	17	297	113	23	5946	3189	2083	391	359	525	659	237	70	48	4	69323	36706	14685	31419	46938	15251	13434	6085	779	15767	2012	5988	9036	3899	10567	2616	5383	4357	973	4018	6240	6440	6370	3009	1413	1684	600	391	858	81	1989	1232	560	1142	498	201	2393	1684	1233	60	21	114	118	29	401	234	79	132	145	176	20	47	21	23	3	2	3	0
15	22	422	189	42	8355	5732	3158	844	738	823	1246	559	162	130	7	93927	56727	27192	38277	66057	26873	30266	9094	2204	23086	3477	14271	11357	7118	19225	6754	8060	8346	2873	7262	7916	12643	13256	7833	2339	3880	1644	1372	1435	310	2802	2837	1710	3125	1146	546	5037	3246	3416	192	102	184	201	76	1130	702	307	299	491	497	64	71	49	109	18	9	4	0
16	20	394	152	38	7758	4672	3066	581	630	743	1220	439	129	115	5	87436	47294	23008	36713	65492	22448	20966	9215	1240	21485	4136	11975	10873	5682	18853	5186	7997	8824	1900	5913	7849	11044	11469	5573	2034	3432	1592	1030	1557	237	2608	2195	1146	2823	1092	447	4045	3226	2929	140	87	154	183	43	928	627	246	258	316	539	42	58	34	80	24	0	4	0
17	12	245	57	9	4814	1863	1967	139	229	518	280	72	38	9	0	57912	19697	11030	24431	42320	10965	5423	7530	187	16080	1200	1922	7118	2938	4275	944	6228	2032	222	2768	5436	3865	5522	1372	1606	917	112	57	415	18	1855	632	254	232	371	104	1587	775	435	61	2	128	0	0	255	55	9	105	55	47	21	0	0	8	0	0	0	0
18	23	454	200	53	8786	6288	3579	861	785	813	1644	722	190	173	15	96339	61713	29915	40136	75088	29887	32394	10568	2025	21785	4532	19052	12064	6789	25182	9061	8439	11612	3584	7773	8782	13444	13878	7950	2109	5151	2347	1819	1863	524	2796	3138	2147	4338	1390	587	5103	4277	4637	171	133	137	492	166	1044	917	468	290	483	715	69	176	104	102	17	6	15	0
19	16	336	89	31	6708	2867	2721	231	399	711	1021	234	146	85	10	75946	30357	15439	33392	60258	14580	8671	8649	313	19505	3153	6392	9785	3723	15104	2732	7206	7345	619	3870	7491	7042	7292	2347	2073	4040	1201	472	1368	86	2526	2626	885	2232	755	159	2594	3172	1715	168	41	150	336	49	865	529	152	174	239	372	63	153	65	92	16	8	6	1
2	25	490	238	62	9588	7350	3856	1142	949	924	1944	908	222	232	18	104297	70247	33266	42029	80151	33769	41745	10998	3080	24387	5073	24211	12587	8342	29822	10832	9465	13725	4996	8595	9065	16169	15709	10686	2597	6022	3133	2598	2344	655	3192	3875	2620	5987	1632	724	6288	5130	5888	204	214	187	613	213	1363	1198	691	376	696	954	96	208	147	147	38	12	18	0
20	13	260	61	17	5016	1932	2114	135	252	497	524	119	63	28	4	60067	20813	10460	25582	46157	10784	5036	7865	150	14818	1814	3088	7424	2614	7934	1499	5852	3869	301	2636	5606	4190	5579	1346	1453	1723	375	139	671	38	1799	1097	376	697	428	95	1594	1342	826	68	9	119	140	24	340	127	36	110	85	112	23	45	14	18	3	4	1	0
