97	23	357	207	46	4263	5136	2140	963	635	553	1162	661	143	136	11	40973	49045	25280	20549	40238	24525	28561	6679	2588	10730	5946	13353	4913	6431	11126	6498	5033	5710	3623	6303	5110	5876	12185	7165	1328	2796	1401	1566	1428	425	1261	1319	1665	2770	767	565	3092	1394	3268	165	96	104	334	133	739	687	336	194	395	339	44	88	71	78	9	4	8	0
53	24	351	224	52	4387	5285	1994	1067	638	504	1208	782	152	163	12	41551	52795	24216	21573	38749	24106	30436	5843	2849	9894	5559	14721	5542	6171	12225	7493	4438	5485	4485	6570	5313	6573	11808	7312	1124	2797	1458	1915	1318	553	1320	1531	1842	3067	671	619	3012	1418	3537	162	126	91	333	152	685	779	436	160	437	363	43	82	82	93	19	6	9	0
41	20	298	145	45	3954	3582	1722	497	370	445	1092	490	124	139	14	40480	38088	17384	20817	35683	17283	15238	5152	889	9371	5081	9743	5184	4386	11626	5009	3968	5107	1832	4604	4755	4044	7063	3174	1020	2277	1397	1138	1319	321	1225	1365	1176	2856	359	219	1866	1445	2068	135	91	89	395	118	630	615	328	101	205	291	26	104	96	60	20	4	12	0
0	19	305	132	39	3909	3354	1919	443	434	477	994	399	137	117	10	38994	34380	16634	19932	38999	16530	13387	6369	827	9674	4955	8063	4635	4181	10158	4033	4757	5014	1384	4344	4931	4394	8716	3428	1101	2726	1218	921	1229	247	1226	1450	1086	2383	590	324	2181	1286	2027	188	91	102	300	83	695	677	238	109	290	285	41	71	61	86	16	11	8	0
26	19	270	136	35	3781	3174	1466	482	343	389	848	390	76	86	11	40877	36494	14479	20498	31867	14143	13781	4050	936	8493	3990	7829	5568	3824	9587	3726	3255	3945	1590	3972	4478	4032	6067	3041	826	1437	872	743	1017	217	1220	856	678	1691	331	208	1610	1139	1647	67	45	67	329	100	369	339	175	77	154	189	14	65	56	22	4	4	10	0
2	16	244	92	28	3397	2260	1488	246	269	400	714	240	74	70	4	36774	25789	10728	18498	32183	11166	7303	5101	330	8664	3493	4980	4663	3034	7939	2390	3910	3689	699	2851	4316	3149	5101	1703	1038	1538	747	440	1003	119	1120	821	507	1388	340	152	1344	915	1160	73	40	86	132	25	411	306	134	86	123	169	18	33	23	32	8	1	2	0
46	16	256	94	26	3411	2364	1668	269	310	378	662	221	97	67	3	37333	26117	11586	17849	34807	11970	7973	5959	420	7945	3318	4485	4770	2799	7195	2204	4051	3581	678	2932	4435	3286	6226	2086	934	2019	704	416	826	88	988	963	641	1295	467	186	1376	837	1117	145	45	69	77	19	441	391	129	90	168	181	24	28	18	62	6	2	1	0
22	23	360	209	44	4226	5213	2332	995	676	551	1077	634	139	136	6	39913	48900	25149	19526	42712	26772	29546	8409	2746	10060	4930	12356	5032	6399	10366	6364	5950	5496	3638	6230	5395	6297	13862	7716	1339	2824	1268	1519	1341	372	1289	1202	1642	2644	969	657	3200	1195	3267	206	121	93	178	63	658	670	317	223	399	361	39	33	55	83	23	3	1	0
84	24	364	219	57	4335	5344	2193	1014	653	540	1390	780	166	216	14	39812	50328	25521	20343	40953	26059	29719	7070	2666	10150	6640	15229	5010	6345	13049	7741	5208	6744	4098	6549	5231	6284	12497	7334	1249	3255	2169	2220	1629	489	1269	1606	1871	4199	779	591	3162	1722	3792	163	214	97	395	140	844	1018	619	179	424	511	41	96	130	108	38	9	12	0
14	19	316	133	38	3939	3526	2053	445	459	487	1000	412	122	102	10	38929	34656	18655	19596	40512	18196	14047	7001	777	9751	5318	8706	4957	4408	10053	4391	4824	5167	1546	4646	5032	4581	9525	3662	1238	2520	1020	865	1219	260	1226	1162	1048	2136	617	333	2237	1300	2271	156	55	83	301	85	578	533	210	129	258	283	33	73	55	72	13	6	10	0
