41	27	420	285	66	4488	7057	2599	1589	924	620	1615	1042	200	274	20
67	18	285	125	28	3845	3161	1810	449	429	441	666	294	80	65	8
34	20	338	147	43	4075	3905	2259	519	543	539	1127	486	152	117	18
0	20	323	155	35	4054	3997	2031	609	500	512	912	437	114	89	5
69	25	351	232	68	4237	5254	1894	1067	657	498	1526	929	165	277	27
24	18	319	127	26	3904	3525	2203	459	477	542	726	303	109	49	5
78	21	319	168	42	4160	4104	1903	675	482	484	1066	519	123	129	7
58	23	371	211	42	4343	5300	2371	1010	743	617	1092	644	142	113	4
62	23	354	198	55	4307	4855	2107	833	640	537	1319	739	167	181	18
64	23	352	203	50	4257	4931	2094	910	651	529	1225	684	143	165	12
5	26	399	261	64	4415	6297	2424	1331	852	564	1552	1019	211	233	17
45	21	336	173	37	4161	4421	2116	751	559	538	929	462	126	110	7
81	22	333	183	48	4193	4439	1954	767	561	502	1152	600	140	159	14
27	14	245	72	19	3297	2013	1702	176	262	431	506	150	71	36	2
61	24	361	215	61	4338	5149	2152	963	667	499	1426	801	197	239	21
91	19	321	139	32	4038	3788	2175	529	475	542	828	342	106	92	6
95	25	379	240	60	4378	5775	2272	1180	734	563	1487	878	183	224	18
42	19	333	130	41	3931	3592	2305	420	482	549	1104	410	167	130	9
36	17	270	114	22	3620	2889	1678	400	357	469	589	233	64	44	3
4	14	240	66	25	3232	1786	1651	139	236	405	700	156	81	63	6
2	25	366	238	62	4362	5534	2144	1142	717	534	1480	908	168	232	18
53	21	335	171	39	4120	4289	2114	726	582	542	997	478	125	115	11
92	21	318	166	44	4086	3974	1871	659	503	496	1102	516	139	145	10
82	23	373	201	52	4310	5086	2448	882	720	539	1292	697	194	181	11
21	24	367	215	61	4273	5163	2196	947	713	514	1486	830	183	229	18
16	20	318	152	38	4022	3794	1961	581	515	500	990	439	114	115	5
18	23	348	200	53	4292	4844	2108	861	612	478	1298	722	145	173	15
47	20	316	149	41	4024	3712	1955	547	476	491	1086	460	127	121	12
26	21	340	171	39	4096	4398	2203	699	572	545	1008	528	125	96	7
71	20	324	144	46	4001	3687	2018	487	483	506	1175	488	164	155	10
38	20	347	150	40	4091	4067	2394	558	586	585	1046	454	154	118	10
12	16	267	97	23	3612	2553	1760	293	336	425	610	216	85	47	4
99	15	260	85	20	3456	2317	1778	244	314	462	547	165	74	43	3
35	20	313	156	34	4017	3913	1943	633	492	511	842	407	104	95	5
94	12	201	53	13	2842	1392	1362	117	180	318	365	79	47	21	3
3	24	356	221	55	4337	5268	2109	1019	655	541	1308	816	151	173	16
11	19	297	130	41	3913	3278	1810	429	381	455	1050	395	128	133	12
22	26	384	260	65	4423	6106	2266	1333	823	554	1496	992	176	257	18
33	19	311	137	34	3933	3582	2056	505	477	484	836	361	113	92	11
73	16	281	96	24	3720	2669	1980	281	358	480	644	225	93	51	3
68	22	356	187	44	4257	4808	2302	806	614	533	1134	603	153	116	15
44	17	277	111	25	3690	2818	1776	375	383	476	696	236	76	68	1
57	16	254	93	27	3506	2337	1568	260	301	430	705	226	83	70	4
37	23	325	193	60	4182	4433	1816	776	527	460	1339	751	162	223	21
59	17	283	107	29	3667	2849	1880	334	358	448	767	265	98	73	8
23	30	415	358	77	4580	7949	2326	2263	954	555	1732	1466	223	303	28
29	25	402	243	57	4400	6180	2590	1212	812	593	1458	881	193	191	16
90	28	415	313	65	4534	7303	2517	1853	999	607	1508	1173	198	233	17
88	23	349	200	53	4312	4860	2036	874	607	526	1272	692	166	194	11
6	15	246	84	21	3440	2250	1539	235	263	400	550	171	59	45	4
40	25	369	242	58	4351	5722	2162	1219	695	556	1432	846	156	217	18
48	19	318	145	26	3995	3846	2121	583	494	525	718	333	86	50	3
46	15	277	83	22	3485	2404	2051	226	323	490	664	176	82	49	4
70	18	290	124	29	3781	3155	1801	432	407	462	753	305	104	78	1
50	19	297	136	35	3872	3395	1835	483	415	461	887	384	117	95	7
1	16	255	88	32	3574	2256	1604	212	270	410	849	257	90	82	9
93	30	415	354	81	4580	7897	2281	2203	980	569	1808	1473	185	357	27
84	18	295	122	31	3880	3190	1881	425	394	476	837	294	100	89	8
54	17	292	108	28	3730	2941	1981	345	395	497	729	257	106	71	7
56	22	354	180	51	4201	4573	2273	737	605	521	1293	601	179	187	15
66	14	239	75	16	3320	2055	1579	205	263	417	422	128	52	29	2
76	18	297	127	26	3899	3317	1953	469	427	495	696	283	91	59	5
31	18	307	120	33	3854	3260	2099	399	436	490	845	313	121	97	7
