#ID(s) interactor A	ID(s) interactor B	Alt. ID(s) interactor A	Alt. ID(s) interactor B	Alias(es) interactor A	Alias(es) interactor B	Interaction detection method(s)	Publication 1st author(s)	Publication Identifier(s)	Taxid interactor A	Taxid interactor B	Interaction type(s)	Source database(s)	Interaction identifier(s)	Confidence value(s)	Expansion method(s)	Biological role(s) interactor A	Biological role(s) interactor B	Experimental role(s) interactor A	Experimental role(s) interactor B	Type(s) interactor A	Type(s) interactor B	Xref(s) interactor A	Xref(s) interactor B	Interaction Xref(s)	Annotation(s) interactor A	Annotation(s) interactor B	Interaction annotation(s)	Host organism(s)	Interaction parameter(s)	Creation date	Update date	Checksum(s) interactor A	Checksum(s) interactor B	Interaction Checksum(s)	Negative	Feature(s) interactor A	Feature(s) interactor B	Stoichiometry(s) interactor A	Stoichiometry(s) interactor B	Identification method participant A	Identification method participant B
uniprotkb:Q14449	uniprotkb:P06213-2	intact:EBI-2680889|uniprotkb:B7Z7F9|uniprotkb:Q7Z6I1	intact:EBI-9984921	psi-mi:grb14_human(display_long)|uniprotkb:GRB14 adapter protein(gene name synonym)|uniprotkb:GRB14(gene name)|psi-mi:GRB14(display_short)	psi-mi:p06213-2(display_long)|uniprotkb:HIR-A(isoform synonym)|uniprotkb:INSR(gene name)|psi-mi:INSR(display_short)	psi-mi:"MI:0007"(anti tag coimmunoprecipitation)	Taira et al. (2014)	pubmed:24535599|imex:IM-23311	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0915"(physical association)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9984908|imex:IM-23311-2	intact-miscore:0.40	-	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0496"(bait)	psi-mi:"MI:0498"(prey)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	interpro:IPR035034|interpro:IPR035035|dip:DIP-42605N|go:"GO:0005737"(cytoplasm)|mint:Q14449|interpro:IPR036860|reactome:R-HSA-210993|ensembl:ENSG00000115290|ensembl:ENSP00000263915|go:"GO:0010008"(endosome membrane)|refseq:NP_001290351.1|go:"GO:0030971"(receptor tyrosine kinase binding)|go:"GO:0042802"(identical protein binding)|go:"GO:0042803"(protein homodimerization activity)|go:"GO:0046627"(negative regulation of insulin receptor signaling pathway)|go:"GO:0007165"(signal transduction)|go:"GO:0005070"(SH3/SH2 adaptor activity)|rcsb pdb:4K81|interpro:IPR029071|ensembl:ENST00000263915|go:"GO:0043231"(intracellular membrane-bounded organelle)|go:"GO:0005829"(cytosol)|go:"GO:0005886"(plasma membrane)|go:"GO:0050900"(leukocyte migration)|refseq:NP_004481.2|interpro:IPR015042("BPS (Between PH and SH2)")|interpro:IPR011993(Pleckstrin homology-type)|interpro:IPR001849(Pleckstrin-like)|interpro:IPR000159(Ras-association)|interpro:IPR000980(SH2 motif)|rcsb pdb:2AUG|rcsb pdb:2AUH	intact:EBI-475899(isoform-parent)	-	comment:"\"DIP protein Q14449 original sequence version: 94\""	comment:"\"DIP protein P06213-2 original sequence version: 186\""	figure legend:3/4/6|agonist:Insulin  GSK-3 inhibitor IX  GSK-3   knockdown|curation depth:imex curation|dataset:Affinomics - Interactions curated for the Affinomics consortium.|dataset:Diabetes - Interactions investigated in the context of Diabetes|full coverage:Only protein-protein interactions	taxid:9534(chlae-cos_7)|taxid:9534(Cercopithecus aethiops simian cells transformed with SV40)	-	2014/11/25	2014/11/25	rogid:b3Xtmki3fCyyoRra/IQWuGIQDCU9606	rogid:RrN+Oz91QaF2SGMLOhMIJjla2n09606	intact-crc:5F59F32D9B08CA7A|rigid:5DRaj0WX9InEA/k4rKeynNHAW6Y	false	mutation increasing interaction strength:358-358,362-362,366-366|his tag:c-c|v5 tag:c-c	-	-	-	psi-mi:"MI:0113"(western blot)	psi-mi:"MI:0113"(western blot)
uniprotkb:Q14449	intact:EBI-9985038	intact:EBI-2680889|uniprotkb:B7Z7F9|uniprotkb:Q7Z6I1	-	psi-mi:grb14_human(display_long)|uniprotkb:GRB14 adapter protein(gene name synonym)|uniprotkb:GRB14(gene name)|psi-mi:GRB14(display_short)	psi-mi:rabbit_gsk3_beta(display_short)|psi-mi:EBI-9985038(display_long)	psi-mi:"MI:0424"(protein kinase assay)	Taira et al. (2014)	pubmed:24535599|imex:IM-23311	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9986(rabit)|taxid:9986("Oryctolagus cuniculus (Rabbit)")	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9985057|imex:IM-23311-4	intact-miscore:0.44	-	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	interpro:IPR035034|interpro:IPR035035|dip:DIP-42605N|go:"GO:0005737"(cytoplasm)|mint:Q14449|interpro:IPR036860|reactome:R-HSA-210993|ensembl:ENSG00000115290|ensembl:ENSP00000263915|go:"GO:0010008"(endosome membrane)|refseq:NP_001290351.1|go:"GO:0030971"(receptor tyrosine kinase binding)|go:"GO:0042802"(identical protein binding)|go:"GO:0042803"(protein homodimerization activity)|go:"GO:0046627"(negative regulation of insulin receptor signaling pathway)|go:"GO:0007165"(signal transduction)|go:"GO:0005070"(SH3/SH2 adaptor activity)|rcsb pdb:4K81|interpro:IPR029071|ensembl:ENST00000263915|go:"GO:0043231"(intracellular membrane-bounded organelle)|go:"GO:0005829"(cytosol)|go:"GO:0005886"(plasma membrane)|go:"GO:0050900"(leukocyte migration)|refseq:NP_004481.2|interpro:IPR015042("BPS (Between PH and SH2)")|interpro:IPR011993(Pleckstrin homology-type)|interpro:IPR001849(Pleckstrin-like)|interpro:IPR000159(Ras-association)|interpro:IPR000980(SH2 motif)|rcsb pdb:2AUG|rcsb pdb:2AUH	pubmed:7514173(see-also)	go:"GO:0004672"(protein kinase activity)|go:"GO:0006468"(protein phosphorylation)	comment:"\"DIP protein Q14449 original sequence version: 94\""	-	figure legend:5A|resulting-ptm:Q14449 opser|comment:"\"After GSK-3 incubation using   the Ser370  phosphorylated peptide Grb14(355–375) signals corresponding  to bi-, tri- and tetra-phosphorylated peptides were found; using the non-phosphorylated peptide a signal corresponded to a non-phosphorylated peptide was found, with a marginal signal indicating  mono-phosphorylated peptides.\""|curation depth:imex curation|dataset:Affinomics - Interactions curated for the Affinomics consortium.|dataset:Diabetes - Interactions investigated in the context of Diabetes|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2014/11/25	2014/11/25	rogid:b3Xtmki3fCyyoRra/IQWuGIQDCU9606	-	intact-crc:A3B94F0EF8C40F6B	false	O-phospho-L-serine:370-370|sufficient binding region:355-375	-	-	-	psi-mi:"MI:0427"(Identification by mass spectrometry)	psi-mi:"MI:0427"(Identification by mass spectrometry)
uniprotkb:P68400	uniprotkb:P67870	intact:EBI-347804|uniprotkb:P19138|uniprotkb:P20426|uniprotkb:Q14013|uniprotkb:Q5U065|uniprotkb:D3DVV8|uniprotkb:B4DYS6	intact:EBI-348169|uniprotkb:P07312|uniprotkb:P13862|uniprotkb:Q4VX47|intact:EBI-3866975|uniprotkb:B0UXA9	psi-mi:csk21_human(display_long)|uniprotkb:CSNK2A1(gene name)|psi-mi:CSNK2A1(display_short)|uniprotkb:CK2A1(gene name synonym)	psi-mi:csk2b_human(display_long)|uniprotkb:Phosvitin(gene name synonym)|uniprotkb:Protein G5a(gene name synonym)|uniprotkb:CSNK2B(gene name)|psi-mi:CSNK2B(display_short)|uniprotkb:CK2N(gene name synonym)|uniprotkb:G5A(gene name synonym)	psi-mi:"MI:0424"(protein kinase assay)	Taira et al. (2014)	pubmed:24535599|imex:IM-23311	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9985002|imex:IM-23311-3	intact-miscore:0.97	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0499"(unspecified role)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0684"(ancillary)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5KU8|rcsb pdb:5KWH|rcsb pdb:5VIE|rcsb pdb:5VIF|go:"GO:0016301"(kinase activity)|rcsb pdb:5CLP|rcsb pdb:5CS6|rcsb pdb:5CSH|rcsb pdb:5CSP|rcsb pdb:5CSV|rcsb pdb:5CU3|rcsb pdb:5CU4|rcsb pdb:5CU6|rcsb pdb:5CVF|rcsb pdb:5CVG|rcsb pdb:5CVH|rcsb pdb:5HGV|reactome:R-HSA-1483191|go:"GO:0021987"(cerebral cortex development)|go:"GO:0033574"(response to testosterone)|go:"GO:0043021"(ribonucleoprotein complex binding)|go:"GO:0097421"(liver regeneration)|go:"GO:1903076"(regulation of protein localization to plasma membrane)|rcsb pdb:5MMF|rcsb pdb:5MMR|rcsb pdb:5MO5|rcsb pdb:5MO6|rcsb pdb:5MO7|rcsb pdb:5MO8|rcsb pdb:5MOD|rcsb pdb:5MOE|rcsb pdb:5MOH|rcsb pdb:5MOT|rcsb pdb:5MOV|rcsb pdb:5MOW|rcsb pdb:5MP8|rcsb pdb:5MPJ|rcsb pdb:5NQC|reactome:R-HSA-8939243|reactome:R-HSA-8948751|rcsb pdb:5OMY|rcsb pdb:5ONI|mint:P68400|rcsb pdb:4KWP|ensembl:ENST00000217244|ensembl:ENST00000349736|ensembl:ENST00000400217|rcsb pdb:4NH1|rcsb pdb:5CT0|rcsb pdb:5CTP|rcsb pdb:5CU0|rcsb pdb:5CU2|rcsb pdb:5CX9|go:"GO:0006915"(apoptotic process)|go:"GO:0006656"(phosphatidylcholine biosynthetic process)|rcsb pdb:5M44|rcsb pdb:5M4C|rcsb pdb:5M4F|rcsb pdb:5M4I|go:"GO:0005634"(nucleus)|go:"GO:0006468"(protein phosphorylation)|go:"GO:0047485"(protein N-terminus binding)|dip:DIP-32682N|reactome:R-HSA-8934903|go:"GO:0000785"(chromatin)|go:"GO:0007049"(cell cycle)|go:"GO:0042802"(identical protein binding)|go:"GO:1905818"(regulation of chromosome separation)|go:"GO:0008284"(positive regulation of cell proliferation)|go:"GO:0030307"(positive regulation of cell growth)|go:"GO:0045732"(positive regulation of protein catabolic process)|go:"GO:0048511"(rhythmic process)|rcsb pdb:3WOW|rcsb pdb:3WIL|rcsb pdb:3WIK|rcsb pdb:3AMY|rcsb pdb:4RLL|reactome:R-HSA-6804756|reactome:R-HSA-6814122|go:"GO:0005654"(nucleoplasm)|go:"GO:0006457"(protein folding)|go:"GO:1901796"(regulation of signal transduction by p53 class mediator)|rcsb pdb:5H8B|rcsb pdb:5H8E|rcsb pdb:5H8G|go:"GO:0005956"(protein kinase CK2 complex)|go:"GO:0018107"(peptidyl-threonine phosphorylation)|rcsb pdb:4UB7|rcsb pdb:4UBA|reactome:R-HSA-201688|reactome:R-HSA-2514853|reactome:R-HSA-445144|go:"GO:0007165"(signal transduction)|rcsb pdb:3U87|rcsb pdb:5T1H|rcsb pdb:5CQU|rcsb pdb:5CQW|rcsb pdb:3AXW|rcsb pdb:4DGL|rcsb pdb:3U9C|rcsb pdb:3U4U|go:"GO:0051879"(Hsp90 protein binding)|rcsb pdb:4FBX|rcsb pdb:4GYW|rcsb pdb:4GYY|rcsb pdb:4GZ3|rcsb pdb:4IB5|rcsb pdb:4GRB|go:"GO:0016236"(macroautophagy)|rcsb pdb:5N1V|go:"GO:0006351"(transcription, DNA-templated)|go:"GO:0006355"(regulation of transcription, DNA-templated)|rcsb pdb:3AT2|rcsb pdb:3AT3|rcsb pdb:3AT4|rcsb pdb:3TAX|ensembl:ENSP00000339247|ensembl:ENSP00000383076|rcsb pdb:3PE1|rcsb pdb:3PE2|ensembl:ENSG00000101266|ensembl:ENSP00000217244|go:"GO:0030177"(positive regulation of Wnt signaling pathway)|go:"GO:0043154"(negative regulation of cysteine-type endopeptidase activity involved in apoptotic process)|go:"GO:0061077"(chaperone-mediated protein folding)|rcsb pdb:3Q04|rcsb pdb:3R0T|rcsb pdb:3W8L|rcsb pdb:3WAR|rcsb pdb:4GUB|rcsb pdb:4MD7|rcsb pdb:4MD8|rcsb pdb:4MD9|rcsb pdb:5B0X|rcsb pdb:3Q9W|rcsb pdb:3Q9X|rcsb pdb:3Q9Y|rcsb pdb:3Q9Z|rcsb pdb:3QA0|go:"GO:0005829"(cytosol)|go:"GO:0005886"(plasma membrane)|go:"GO:0005524"(ATP binding)|go:"GO:0004674"(protein serine/threonine kinase activity)|go:"GO:0016055"(Wnt signaling pathway)|refseq:NP_001886.1|refseq:NP_808227.1|refseq:NP_808228.1|interpro:IPR011009(Protein kinase-like)|interpro:IPR000719(Protein kinase, core)|interpro:IPR017441(Protein kinase ATP binding, conserved site)|interpro:IPR008271(Serine/threonine protein kinase, active site)|rcsb pdb:1JWH|rcsb pdb:1NA7|rcsb pdb:1PJK|rcsb pdb:2PVR|rcsb pdb:2ZJW|rcsb pdb:3BQC|rcsb pdb:3C13|rcsb pdb:3FWQ|rcsb pdb:3H30|rcsb pdb:3JUH|rcsb pdb:3MB6|rcsb pdb:3MB7|rcsb pdb:3NGA|rcsb pdb:3NSZ|rcsb pdb:3OWJ|rcsb pdb:3OWK|rcsb pdb:3OWL|rcsb pdb:3PE4|rcsb pdb:3RPS	reactome:R-HSA-1483191|reactome:R-HSA-6798695|reactome:R-HSA-8939243|reactome:R-HSA-8948751|mint:P67870|ensembl:ENST00000375865|ensembl:ENST00000375866|ensembl:ENST00000375882|ensembl:ENST00000383427|ensembl:ENST00000383433|ensembl:ENST00000400110|ensembl:ENST00000412802|ensembl:ENST00000418230|ensembl:ENST00000422567|ensembl:ENST00000429633|ensembl:ENST00000431476|ensembl:ENST00000436169|ensembl:ENST00000443673|ensembl:ENST00000448596|ensembl:ENST00000451917|ensembl:ENST00000452985|ensembl:ENST00000453234|ensembl:ENST00000454382|ensembl:ENST00000454511|ensembl:ENST00000455161|ensembl:ENST00000458330|rcsb pdb:4NH1|go:"GO:0005886"(plasma membrane)|go:"GO:0005929"(cilium)|go:"GO:0016363"(nuclear matrix)|go:"GO:0097421"(liver regeneration)|go:"GO:0000785"(chromatin)|go:"GO:0005576"(extracellular region)|go:"GO:0006656"(phosphatidylcholine biosynthetic process)|go:"GO:0033574"(response to testosterone)|go:"GO:0034774"(secretory granule lumen)|go:"GO:0043021"(ribonucleoprotein complex binding)|go:"GO:0043312"(neutrophil degranulation)|go:"GO:1904813"(ficolin-1-rich granule lumen)|go:"GO:0005102"(signaling receptor binding)|go:"GO:0005737"(cytoplasm)|go:"GO:0007165"(signal transduction)|go:"GO:0008134"(transcription factor binding)|go:"GO:0019904"(protein domain specific binding)|go:"GO:0042802"(identical protein binding)|go:"GO:0016236"(macroautophagy)|dip:DIP-131N|reactome:R-HSA-8934903|interpro:IPR035991|reactome:R-HSA-201688|reactome:R-HSA-2514853|reactome:R-HSA-445144|ensembl:ENSG00000206406|ensembl:ENSG00000224398|ensembl:ENSG00000224774|ensembl:ENSG00000228875|ensembl:ENSG00000230700|ensembl:ENSG00000232960|ensembl:ENSP00000365025|ensembl:ENSP00000365026|ensembl:ENSP00000365042|ensembl:ENSP00000372919|ensembl:ENSP00000372925|ensembl:ENSP00000382980|ensembl:ENSP00000390900|ensembl:ENSP00000391038|ensembl:ENSP00000393756|ensembl:ENSP00000394855|ensembl:ENSP00000395275|ensembl:ENSP00000400188|ensembl:ENSP00000407018|ensembl:ENSP00000407379|ensembl:ENSP00000409510|ensembl:ENSP00000410802|ensembl:ENSP00000411322|ensembl:ENSP00000412520|ensembl:ENSP00000413469|ensembl:ENSP00000415237|ensembl:ENSP00000415303|go:"GO:0003682"(chromatin binding)|go:"GO:0005829"(cytosol)|go:"GO:0005634"(nucleus)|go:"GO:0005956"(protein kinase CK2 complex)|go:"GO:0019887"(protein kinase regulator activity)|go:"GO:0033211"(adiponectin-activated signaling pathway)|go:"GO:0043623"|go:"GO:0008285"(negative regulation of cell proliferation)|go:"GO:0051101"(regulation of DNA binding)|go:"GO:0016055"(Wnt signaling pathway)|refseq:NP_001311.3|ensembl:ENSG00000204435|interpro:IPR016149(Casein kinase II, regulatory subunit, alpha-helical)|interpro:IPR000704(Casein kinase II, regulatory subunit)|rcsb pdb:1DS5|rcsb pdb:1JWH|rcsb pdb:1QF8|rcsb pdb:3EED|go:"GO:0005654"(nucleoplasm)|go:"GO:0006457"(protein folding)|go:"GO:1901796"(regulation of signal transduction by p53 class mediator)|reactome:R-HSA-6804756|reactome:R-HSA-6814122|go:"GO:0004674"(protein serine/threonine kinase activity)|go:"GO:0018107"(peptidyl-threonine phosphorylation)|go:"GO:0010862"(positive regulation of pathway-restricted SMAD protein phosphorylation)|go:"GO:0032927"(positive regulation of activin receptor signaling pathway)|go:"GO:0043537"(negative regulation of blood vessel endothelial cell migration)|go:"GO:0061154"(endothelial tube morphogenesis)|refseq:NP_001269314.1|go:"GO:0070062"(extracellular exosome)|go:"GO:0046872"(metal ion binding)|rcsb pdb:4DGL|rcsb pdb:4MD7|rcsb pdb:4MD8|rcsb pdb:4MD9	go:"GO:0004672"(protein kinase activity)|go:"GO:0006468"(protein phosphorylation)	comment:"\"DIP protein P68400 original sequence version: 88\""|comment:"\"DIP protein P68400 original sequence version: 78\""|comment:"\"DIP protein P68400 original sequence version: 100\""|comment:"\"DIP protein P68400 original sequence version: 110\""|comment:"\"DIP protein P68400 original sequence version: 125\""|comment:"\"DIP protein P68400 original sequence version: 136\""	comment:"\"DIP protein P67870 original sequence version: 77\""|comment:"\"DIP protein P67870 original sequence version: 124\""|comment:"\"DIP protein P67870 original sequence version: 134\""	figure legend:5A|agonist:Recombinant  Rabbit GSK-3beta|resulting-ptm:Q14449  O-phospho-L-serine|curation depth:imex curation|dataset:Affinomics - Interactions curated for the Affinomics consortium.|dataset:Diabetes - Interactions investigated in the context of Diabetes|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2014/11/25	2014/11/25	rogid:5PLQNJJpbPzJhA0sqogKhl9umIQ9606	rogid:ZTHJjCqHg2dE7B+WoSU28VSMuPg9606	intact-crc:388F02CF035C9DF4|rigid:AthCTCoQEPLx/AHP91XG9S0LSfo	false	-	-	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
uniprotkb:P68400	uniprotkb:Q14449	intact:EBI-347804|uniprotkb:P19138|uniprotkb:P20426|uniprotkb:Q14013|uniprotkb:Q5U065|uniprotkb:D3DVV8|uniprotkb:B4DYS6	intact:EBI-2680889|uniprotkb:B7Z7F9|uniprotkb:Q7Z6I1	psi-mi:csk21_human(display_long)|uniprotkb:CSNK2A1(gene name)|psi-mi:CSNK2A1(display_short)|uniprotkb:CK2A1(gene name synonym)	psi-mi:grb14_human(display_long)|uniprotkb:GRB14 adapter protein(gene name synonym)|uniprotkb:GRB14(gene name)|psi-mi:GRB14(display_short)	psi-mi:"MI:0424"(protein kinase assay)	Taira et al. (2014)	pubmed:24535599|imex:IM-23311	taxid:9606(human)|taxid:9606(Homo sapiens)	taxid:9606(human)|taxid:9606(Homo sapiens)	psi-mi:"MI:0217"(phosphorylation reaction)	psi-mi:"MI:0469"(IntAct)	intact:EBI-9985002|imex:IM-23311-3	intact-miscore:0.44	psi-mi:"MI:1060"(spoke expansion)	psi-mi:"MI:0501"(enzyme)	psi-mi:"MI:0502"(enzyme target)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0497"(neutral component)	psi-mi:"MI:0326"(protein)	psi-mi:"MI:0326"(protein)	rcsb pdb:5KU8|rcsb pdb:5KWH|rcsb pdb:5VIE|rcsb pdb:5VIF|go:"GO:0016301"(kinase activity)|rcsb pdb:5CLP|rcsb pdb:5CS6|rcsb pdb:5CSH|rcsb pdb:5CSP|rcsb pdb:5CSV|rcsb pdb:5CU3|rcsb pdb:5CU4|rcsb pdb:5CU6|rcsb pdb:5CVF|rcsb pdb:5CVG|rcsb pdb:5CVH|rcsb pdb:5HGV|reactome:R-HSA-1483191|go:"GO:0021987"(cerebral cortex development)|go:"GO:0033574"(response to testosterone)|go:"GO:0043021"(ribonucleoprotein complex binding)|go:"GO:0097421"(liver regeneration)|go:"GO:1903076"(regulation of protein localization to plasma membrane)|rcsb pdb:5MMF|rcsb pdb:5MMR|rcsb pdb:5MO5|rcsb pdb:5MO6|rcsb pdb:5MO7|rcsb pdb:5MO8|rcsb pdb:5MOD|rcsb pdb:5MOE|rcsb pdb:5MOH|rcsb pdb:5MOT|rcsb pdb:5MOV|rcsb pdb:5MOW|rcsb pdb:5MP8|rcsb pdb:5MPJ|rcsb pdb:5NQC|reactome:R-HSA-8939243|reactome:R-HSA-8948751|rcsb pdb:5OMY|rcsb pdb:5ONI|mint:P68400|rcsb pdb:4KWP|ensembl:ENST00000217244|ensembl:ENST00000349736|ensembl:ENST00000400217|rcsb pdb:4NH1|rcsb pdb:5CT0|rcsb pdb:5CTP|rcsb pdb:5CU0|rcsb pdb:5CU2|rcsb pdb:5CX9|go:"GO:0006915"(apoptotic process)|go:"GO:0006656"(phosphatidylcholine biosynthetic process)|rcsb pdb:5M44|rcsb pdb:5M4C|rcsb pdb:5M4F|rcsb pdb:5M4I|go:"GO:0005634"(nucleus)|go:"GO:0006468"(protein phosphorylation)|go:"GO:0047485"(protein N-terminus binding)|dip:DIP-32682N|reactome:R-HSA-8934903|go:"GO:0000785"(chromatin)|go:"GO:0007049"(cell cycle)|go:"GO:0042802"(identical protein binding)|go:"GO:1905818"(regulation of chromosome separation)|go:"GO:0008284"(positive regulation of cell proliferation)|go:"GO:0030307"(positive regulation of cell growth)|go:"GO:0045732"(positive regulation of protein catabolic process)|go:"GO:0048511"(rhythmic process)|rcsb pdb:3WOW|rcsb pdb:3WIL|rcsb pdb:3WIK|rcsb pdb:3AMY|rcsb pdb:4RLL|reactome:R-HSA-6804756|reactome:R-HSA-6814122|go:"GO:0005654"(nucleoplasm)|go:"GO:0006457"(protein folding)|go:"GO:1901796"(regulation of signal transduction by p53 class mediator)|rcsb pdb:5H8B|rcsb pdb:5H8E|rcsb pdb:5H8G|go:"GO:0005956"(protein kinase CK2 complex)|go:"GO:0018107"(peptidyl-threonine phosphorylation)|rcsb pdb:4UB7|rcsb pdb:4UBA|reactome:R-HSA-201688|reactome:R-HSA-2514853|reactome:R-HSA-445144|go:"GO:0007165"(signal transduction)|rcsb pdb:3U87|rcsb pdb:5T1H|rcsb pdb:5CQU|rcsb pdb:5CQW|rcsb pdb:3AXW|rcsb pdb:4DGL|rcsb pdb:3U9C|rcsb pdb:3U4U|go:"GO:0051879"(Hsp90 protein binding)|rcsb pdb:4FBX|rcsb pdb:4GYW|rcsb pdb:4GYY|rcsb pdb:4GZ3|rcsb pdb:4IB5|rcsb pdb:4GRB|go:"GO:0016236"(macroautophagy)|rcsb pdb:5N1V|go:"GO:0006351"(transcription, DNA-templated)|go:"GO:0006355"(regulation of transcription, DNA-templated)|rcsb pdb:3AT2|rcsb pdb:3AT3|rcsb pdb:3AT4|rcsb pdb:3TAX|ensembl:ENSP00000339247|ensembl:ENSP00000383076|rcsb pdb:3PE1|rcsb pdb:3PE2|ensembl:ENSG00000101266|ensembl:ENSP00000217244|go:"GO:0030177"(positive regulation of Wnt signaling pathway)|go:"GO:0043154"(negative regulation of cysteine-type endopeptidase activity involved in apoptotic process)|go:"GO:0061077"(chaperone-mediated protein folding)|rcsb pdb:3Q04|rcsb pdb:3R0T|rcsb pdb:3W8L|rcsb pdb:3WAR|rcsb pdb:4GUB|rcsb pdb:4MD7|rcsb pdb:4MD8|rcsb pdb:4MD9|rcsb pdb:5B0X|rcsb pdb:3Q9W|rcsb pdb:3Q9X|rcsb pdb:3Q9Y|rcsb pdb:3Q9Z|rcsb pdb:3QA0|go:"GO:0005829"(cytosol)|go:"GO:0005886"(plasma membrane)|go:"GO:0005524"(ATP binding)|go:"GO:0004674"(protein serine/threonine kinase activity)|go:"GO:0016055"(Wnt signaling pathway)|refseq:NP_001886.1|refseq:NP_808227.1|refseq:NP_808228.1|interpro:IPR011009(Protein kinase-like)|interpro:IPR000719(Protein kinase, core)|interpro:IPR017441(Protein kinase ATP binding, conserved site)|interpro:IPR008271(Serine/threonine protein kinase, active site)|rcsb pdb:1JWH|rcsb pdb:1NA7|rcsb pdb:1PJK|rcsb pdb:2PVR|rcsb pdb:2ZJW|rcsb pdb:3BQC|rcsb pdb:3C13|rcsb pdb:3FWQ|rcsb pdb:3H30|rcsb pdb:3JUH|rcsb pdb:3MB6|rcsb pdb:3MB7|rcsb pdb:3NGA|rcsb pdb:3NSZ|rcsb pdb:3OWJ|rcsb pdb:3OWK|rcsb pdb:3OWL|rcsb pdb:3PE4|rcsb pdb:3RPS	interpro:IPR035034|interpro:IPR035035|dip:DIP-42605N|go:"GO:0005737"(cytoplasm)|mint:Q14449|interpro:IPR036860|reactome:R-HSA-210993|ensembl:ENSG00000115290|ensembl:ENSP00000263915|go:"GO:0010008"(endosome membrane)|refseq:NP_001290351.1|go:"GO:0030971"(receptor tyrosine kinase binding)|go:"GO:0042802"(identical protein binding)|go:"GO:0042803"(protein homodimerization activity)|go:"GO:0046627"(negative regulation of insulin receptor signaling pathway)|go:"GO:0007165"(signal transduction)|go:"GO:0005070"(SH3/SH2 adaptor activity)|rcsb pdb:4K81|interpro:IPR029071|ensembl:ENST00000263915|go:"GO:0043231"(intracellular membrane-bounded organelle)|go:"GO:0005829"(cytosol)|go:"GO:0005886"(plasma membrane)|go:"GO:0050900"(leukocyte migration)|refseq:NP_004481.2|interpro:IPR015042("BPS (Between PH and SH2)")|interpro:IPR011993(Pleckstrin homology-type)|interpro:IPR001849(Pleckstrin-like)|interpro:IPR000159(Ras-association)|interpro:IPR000980(SH2 motif)|rcsb pdb:2AUG|rcsb pdb:2AUH	go:"GO:0004672"(protein kinase activity)|go:"GO:0006468"(protein phosphorylation)	comment:"\"DIP protein P68400 original sequence version: 88\""|comment:"\"DIP protein P68400 original sequence version: 78\""|comment:"\"DIP protein P68400 original sequence version: 100\""|comment:"\"DIP protein P68400 original sequence version: 110\""|comment:"\"DIP protein P68400 original sequence version: 125\""|comment:"\"DIP protein P68400 original sequence version: 136\""	comment:"\"DIP protein Q14449 original sequence version: 94\""	figure legend:5A|agonist:Recombinant  Rabbit GSK-3beta|resulting-ptm:Q14449  O-phospho-L-serine|curation depth:imex curation|dataset:Affinomics - Interactions curated for the Affinomics consortium.|dataset:Diabetes - Interactions investigated in the context of Diabetes|full coverage:Only protein-protein interactions	taxid:-1(in vitro)|taxid:-1(In vitro)	-	2014/11/25	2014/11/25	rogid:5PLQNJJpbPzJhA0sqogKhl9umIQ9606	rogid:b3Xtmki3fCyyoRra/IQWuGIQDCU9606	intact-crc:388F02CF035C9DF4|rigid:AthCTCoQEPLx/AHP91XG9S0LSfo	false	-	sufficient binding region:355-375	-	-	psi-mi:"MI:0396"(predetermined participant)	psi-mi:"MI:0396"(predetermined participant)
